,0
0,"burgers,meatballs,eggs"
1,chutney
2,"turkey,avocado"
3,"mineral water,milk,energy bar,whole wheat rice,green tea"
4,low fat yogurt
5,"whole wheat pasta,french fries"
6,"soup,light cream,shallot"
7,"frozen vegetables,spaghetti,green tea"
8,french fries
9,"eggs,pet food"
10,cookies
11,"turkey,burgers,mineral water,eggs,cooking oil"
12,"spaghetti,champagne,cookies"
13,"mineral water,salmon"
14,mineral water
15,"shrimp,chocolate,chicken,honey,oil,cooking oil,low fat yogurt"
16,"turkey,eggs"
17,"turkey,fresh tuna,tomatoes,spaghetti,mineral water,black tea,salmon,eggs,chicken,extra dark chocolate"
18,"meatballs,milk,honey,french fries,protein bar"
19,"red wine,shrimp,pasta,pepper,eggs,chocolate,shampoo"
20,"rice,sparkling water"
21,"spaghetti,mineral water,ham,body spray,pancakes,green tea"
22,"burgers,grated cheese,shrimp,pasta,avocado,honey,white wine,toothpaste"
23,eggs
24,"parmesan cheese,spaghetti,soup,avocado,milk,fresh bread"
25,"ground beef,spaghetti,mineral water,milk,energy bar,black tea,salmon,frozen smoothie,escalope"
26,sparkling water
27,"mineral water,eggs,chicken,chocolate,french fries"
28,"frozen vegetables,spaghetti,yams,mineral water"
29,"herb & pepper,tomato sauce,light cream,magazines"
30,"mineral water,chocolate,avocado,eggs"
31,"turkey,french fries,strawberries"
32,"frozen vegetables,strong cheese,chocolate"
33,cookies
34,"pickles,spaghetti,salmon,escalope"
35,"energy bar,french fries"
36,"red wine,ground beef,mineral water"
37,"mineral water,cake,cottage cheese"
38,"pickles,champagne,green tea"
39,spaghetti
40,"fresh tuna,frozen vegetables,spaghetti,mineral water,honey,whole wheat rice,frozen smoothie,escalope"
41,spaghetti
42,"soup,meatballs,hot dogs,sparkling water"
43,escalope
44,"soup,avocado,french fries,hot dogs,brownies,body spray,pancakes,green tea"
45,"mineral water,chicken,cereals,clothes accessories"
46,"mineral water,bug spray"
47,"avocado,muffins"
48,"burgers,black tea,green tea"
49,"spaghetti,chocolate,brownies,white wine,green tea"
50,"fresh tuna,mineral water,eggs"
51,"spaghetti,muffins"
52,"spaghetti,chocolate"
53,"french fries,escalope,champagne"
54,"tomato sauce,light mayo"
